Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Multi-family home for sale,1599000.0,6,2,2216.0,40.6883775,-73.8418259,16,1,41,6,378,42,1,0,1331,48,0,0,4,64,Queens,11416,2799.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,102.0,62.766447838413015
Multi-family home for sale,1488000.0,9,5,4320.0,40.5906525,-73.9818935,1,0,37,0,241,59,1,0,900,37,0,1,2,55,Brooklyn,11223,4000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,3–4 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Co-op for sale,249000.0,Studio,1,525.0,40.7470424,-73.911373,3,0,53,24,1422,78,2,1,1442,56,0,4,6,164,Queens,11377,525.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,108.0,62.766447838413015
Co-op for sale,370000.0,2,1,1000.0,40.5895105,-73.9910333,1,0,38,0,278,54,1,0,883,38,0,0,2,58,Brooklyn,11214,1000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,62.0,62.766447838413015
Condo for sale,499000.0,2,1.5,1200.0,40.7396643,-73.8581324,13,2,25,7,751,41,1,0,1328,31,1,1,4,123,Queens,11368,1200.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,3–4 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Multi-family home for sale,1629999.0,Studio,0.5+,1920.0,40.6707754,-73.9901426,15,0,97,8,1081,157,3,0,1309,99,0,17,9,146,Brooklyn,11215,1550.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Co-op for sale,350000.0,1,1,752.0,40.6195895,-74.0391398,2,0,28,0,370,30,1,1,840,28,0,1,1,57,Brooklyn,11209,752.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,68.0,69.5065204120069
House for sale,1600000.0,4,3,2315.0,40.5794127,-74.0092692,1,0,26,0,203,19,0,0,552,26,0,0,1,31,Brooklyn,11224,2315.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,60.0,62.766447838413015
House for sale,1488000.0,4,2.5,2457.0,40.7755848,-73.8101206,13,2,3,1,232,21,0,0,752,9,1,2,5,38,Queens,11357,4000.0,1–2 miles,1–2 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,3–4 miles,2–3 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
Co-op for sale,449000.0,2,1.5,950.0,40.7565399,-73.87606,5,2,32,13,936,33,0,0,1205,36,1,1,2,132,Queens,11372,950.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Co-op for sale,459000.0,2,2,1100.0,40.730571,-73.866925,12,2,37,9,899,52,1,0,1387,42,0,2,3,135,Queens,11374,1100.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Condo for sale,4995000.0,3,3.5,2350.0,40.7693171,-73.9537473,14,2,105,26,2468,176,10,12,1562,111,1,27,22,202,Manhattan,10021,2350.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
House for sale,998000.0,3,2,1232.0,40.7854804,-73.8105986,6,2,2,1,180,25,0,0,604,8,1,1,4,28,Queens,11357,3575.0,1–2 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,109.0,35.425132161737395
Condo for sale,625000.0,1,1,810.0,40.7088942,-74.0175081,18,1,99,27,2274,154,9,16,1088,112,1,38,15,145,Manhattan,10280,810.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,699000.0,1,1,700.0,40.6850896,-73.9811412,24,0,117,23,1898,181,5,2,1493,119,0,29,11,174,Brooklyn,11217,700.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
House for sale,798888.0,3,1,960.0,40.7688095,-73.7851709,16,2,1,1,261,22,0,0,785,8,0,2,5,42,Queens,11361,1754.0,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,111.0,75.10102633709577
Condo for sale,2750000.0,2,1.5,1100.0,40.7655426,-73.9766416,15,3,112,33,2862,171,12,21,1562,119,1,34,25,195,Manhattan,10019,1260.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Pending,1479000.0,5,3,2967.0,40.7470928,-73.9241392,4,0,68,29,1838,103,3,3,1542,72,1,12,10,181,Queens,11104,1800.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
Co-op for sale,145000.0,Studio,1,550.0,40.8805372,-73.8764917,37,1,42,2,148,124,1,0,783,54,0,2,4,52,Bronx,10467,550.0,0–1 miles,2–3 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,52.0,35.425132161737395
House for sale,725000.0,3,1.5,1550.0,40.5631049,-74.1000438,2,0,6,0,92,7,0,0,255,6,0,0,1,13,Staten Island,10306,2480.0,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Condo for sale,2000000.0,2,2,1345.0,40.7578789,-73.992278,16,3,112,33,3052,163,13,23,1505,123,1,39,25,192,Manhattan,10036,1345.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Condo for sale,548000.0,2,2,1035.0,40.776394,-73.8484914,4,2,11,3,395,31,0,0,829,15,1,0,3,78,Queens,11354,1035.0,1–2 miles,1–2 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,1–2 miles,4+ miles,1–2 miles,0–1 miles,109.0,35.425132161737395
Condo for sale,1980000.0,2,2,1124.0,40.7620381,-73.9808958,16,3,115,34,3003,172,12,21,1537,123,1,40,25,193,Manhattan,10019,1124.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Condo for sale,875000.0,3,2,1244.0,40.611479,-73.954102,6,0,51,2,320,93,1,0,1308,51,1,2,3,74,Brooklyn,11230,1244.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,70.0,55.3387983997714
Co-op for sale,325000.0,Studio,1,725.0,40.7494678,-73.9717468,19,3,131,40,3471,189,13,21,1601,138,1,43,23,222,Manhattan,10017,7650.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,5495000.0,4,5.5,3348.0,40.7416567,-73.9833364,21,3,143,39,3340,189,14,23,1584,153,1,50,28,212,Manhattan,10016,3348.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,1849999.0,5,2,1900.0,40.701382,-73.952546,24,0,124,35,2198,195,7,7,1814,128,1,28,11,204,Brooklyn,11206,1900.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,90.0,62.766447838413015
House for sale,699000.0,3,1,1024.0,40.6057738,-74.0631187,1,0,10,0,207,11,1,1,602,10,0,1,0,22,Staten Island,10305,3741.0,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,122.0,69.5065204120069
Co-op for sale,1299000.0,5,2,1750.0,40.7996336,-73.955144,26,1,77,5,1325,220,7,4,1201,80,0,21,22,139,Manhattan,10026,1750.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,28.0,69.5065204120069
Townhouse for sale,1798900.0,4,3,3068.0,40.8128794,-73.943378,31,0,71,3,887,219,4,1,1128,75,0,19,9,111,Manhattan,10027,3068.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,26.0,85.32013501928847
Condo for sale,6668000.0,4,3.5,4765.0,40.7582785,-73.9612457,15,3,120,44,3182,179,12,21,1618,125,1,35,24,221,Manhattan,10022,4765.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,865000.0,1,1,653.0,40.7707481,-73.9340533,16,1,94,22,2063,171,7,6,1572,99,0,18,19,188,Queens,11102,653.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,114.0,35.425132161737395
House for sale,499999.0,Studio,1,600.0,40.7386041,-73.9801679,22,3,144,40,3305,198,14,23,1551,152,1,50,29,210,Manhattan,10010,6450.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,13.0,55.3387983997714
Co-op for sale,417000.0,2,1,900.0,40.7162499,-73.83732,15,2,39,5,610,46,1,0,1495,45,0,1,3,124,Queens,11375,900.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
House for sale,859000.0,3,2,1549.5,40.6708902,-73.8384408,14,1,34,6,215,33,1,0,1030,41,0,0,4,39,Queens,11417,2950.0,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,106.0,62.766447838413015
Pending,388000.0,Studio,1,520.0,40.7271429,-73.8524248,12,2,35,8,792,51,1,0,1462,42,0,1,3,133,Queens,11375,13780.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Condo for sale,3350000.0,3,3.5,2134.0,40.7560001,-73.8293002,13,2,15,2,568,29,1,0,1175,22,1,1,4,92,Queens,11355,2134.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
Multi-family home for sale,1030000.0,Studio,1,600.0,40.6601313,-73.7470525,9,0,0,4,144,26,0,0,654,15,0,0,3,21,Queens,11413,2904.0,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,113.0,55.3387983997714
Multi-family home for sale,1049000.0,5,2,2572.0,40.8143986,-73.8210341,14,0,9,0,80,40,0,0,479,9,1,1,6,21,Bronx,10465,2500.0,0–1 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,1–2 miles,1–2 miles,45.0,62.766447838413015
Townhouse for sale,1638888.0,5,2,1500.0,40.7494479,-73.8557706,12,2,23,6,684,38,1,0,1276,30,1,1,3,116,Queens,11368,2500.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,110.0,45.17588226889556
Condo for sale,1395000.0,3,2,1799.0,40.8351749,-73.9475826,32,0,68,4,511,201,4,1,976,74,0,13,10,92,Manhattan,10032,1799.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,33.0,69.5065204120069
Co-op for sale,3950000.0,3,3.5,2775.0,40.7781268,-73.9598409,18,2,101,21,2255,190,10,11,1483,107,1,24,22,189,Manhattan,10028,2775.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,400000.0,1,1,765.0,40.7734004,-73.9479073,17,2,102,23,2288,182,9,10,1565,108,1,22,21,192,Manhattan,10028,765.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Townhouse for sale,6668000.0,6,6,5000.0,40.7656898,-73.9643139,15,3,114,35,2854,176,13,21,1608,120,1,29,23,211,Manhattan,10065,5000.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Condo for sale,1150000.0,1,1,733.0,40.7151719,-74.0109679,18,2,116,30,2586,160,11,20,1212,129,1,42,16,167,Manhattan,10007,733.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Co-op for sale,6495000.0,3,5.5,1549.5,40.754143,-73.963502,16,3,121,47,3338,179,12,21,1622,126,1,39,24,224,Manhattan,10022,2200.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,2750000.0,Studio,0.5,2710.0,40.7341464,-74.0094583,17,3,117,36,2952,157,12,22,1416,133,1,42,25,172,Manhattan,10014,2710.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Co-op for sale,1475000.0,2,2,1000.0,40.77411,-73.962347,13,2,103,26,2412,192,11,13,1519,109,1,27,23,192,Manhattan,10021,10018.8,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Condo for sale,2950000.0,2,2,1629.0,40.7704392,-73.963757,15,3,108,29,2597,182,11,14,1564,114,1,29,22,205,Manhattan,10021,1629.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,279000.0,Studio,1,500.0,40.7382599,-73.8792599,5,2,38,17,1061,51,1,0,1317,42,0,2,3,139,Queens,11373,500.0,2–3 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,110.0,45.17588226889556
Multi-family home for sale,1700000.0,7,5,2607.0,40.7540903,-73.8165865,12,2,11,1,456,31,1,0,1130,18,0,1,4,79,Queens,11355,2607.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,109.0,35.425132161737395
Co-op for sale,257999.0,1,1,700.0,40.7325099,-73.85704,14,2,35,8,795,44,1,0,1381,41,0,1,4,124,Queens,11374,700.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Co-op for sale,579000.0,1,1.5,1356.0,40.7566899,-73.72075,11,0,0,1,152,18,0,0,475,11,0,0,3,21,Queens,11005,1356.0,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,105.0,45.17588226889556
Multi-family home for sale,788000.0,4,3,987.0,40.5447189,-74.1760526,1,0,8,0,95,3,0,0,227,8,0,1,0,9,Staten Island,10312,1680.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Condo for sale,1250000.0,2,2,1160.0,40.694565,-73.9826933,25,0,128,33,2293,177,9,11,1453,132,1,32,13,186,Brooklyn,11201,1160.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Co-op for sale,850000.0,2,1,1000.0,40.8069373,-73.9650139,20,1,65,4,1046,204,7,4,1007,68,0,22,18,117,Manhattan,10025,13780.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Townhouse for sale,3450000.0,8,5,3500.0,40.6840863,-73.9546069,28,0,105,29,1410,204,3,0,1759,108,0,14,6,160,Brooklyn,11216,3500.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,79.0,55.3387983997714
Co-op for sale,6668000.0,4,2.5,2457.0,40.7718617,-73.9793254,16,3,106,22,2534,178,13,21,1499,114,1,29,24,186,Manhattan,10023,3456.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,169000.0,1,1,600.0,40.6639799,-73.85466,21,1,43,4,131,28,0,0,920,47,0,0,3,28,Queens,11414,600.0,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Condo for sale,545000.0,Studio,1.5,690.0,40.7277659,-73.9445212,19,1,128,48,2999,185,11,19,1811,133,1,29,17,239,Brooklyn,11222,690.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,94.0,75.10102633709577
Co-op for sale,299000.0,Studio,1,300.0,40.7735465,-73.9561566,17,2,103,26,2400,182,11,11,1552,109,1,25,22,197,Manhattan,10075,1425.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Contingent,2195000.0,3,2,1549.5,40.7789427,-73.9859873,13,3,90,17,2128,166,10,14,1361,98,1,29,23,159,Manhattan,10023,2200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Co-op for sale,435000.0,1,1,845.0,40.7510999,-73.89118,2,1,39,15,906,30,0,0,1224,42,1,1,4,122,Queens,11372,845.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
Co-op for sale,175000.0,2,1,850.0,40.8313096,-73.9310506,40,0,76,6,510,216,4,1,1122,83,0,13,10,93,Bronx,10452,850.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,44.0,21.901610944420632
Co-op for sale,235000.0,1,1,750.0,40.7556002,-73.7272423,12,0,0,1,171,17,0,0,539,10,0,0,3,25,Queens,11362,800.0,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,111.0,75.10102633709577
Co-op for sale,549000.0,3,1.5,1150.0,40.7209499,-73.85706,12,2,46,12,828,57,1,0,1507,53,0,1,3,137,Queens,11375,1150.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Pending,764000.0,3,1.5,1050.0,40.5367117,-74.2008162,1,0,8,0,116,10,0,0,209,8,0,1,0,10,Staten Island,10309,5363.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,4+ miles,1–2 miles,123.0,85.32013501928847
Multi-family home for sale,1399999.0,6,5,2200.0,40.6694932,-73.793312,13,0,17,8,175,24,0,0,1051,31,0,0,1,52,Queens,11436,3674.0,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,113.0,55.3387983997714
Multi-family home for sale,1599000.0,5,2,2040.0,40.6202023,-73.9971603,3,0,58,0,459,90,1,0,1198,58,0,3,2,84,Brooklyn,11204,2000.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,66.0,69.5065204120069
Condo for sale,519800.0,1,1,577.0,40.7667631,-73.8280638,13,2,8,2,369,23,0,0,970,14,1,1,4,70,Queens,11354,577.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
Co-op for sale,525000.0,2,1,1200.0,40.7237299,-73.85453,13,2,42,9,805,53,1,0,1499,49,0,1,3,137,Queens,11375,1200.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Condo for sale,1995000.0,3,2.5,1743.0,40.5763035,-73.9588754,0,0,23,0,177,43,1,0,632,23,0,0,1,33,Brooklyn,11235,1743.0,4+ miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,61.0,62.766447838413015
