Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
House for sale,800000.0,3,1,1312.0,40.7130597,-73.8580673,14,1,52,11,742,73,1,0,1518,57,0,1,3,120,Queens,11374,1312.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Co-op for sale,2900000.0,2,2,6425.0,40.7758127,-73.9592568,18,2,100,23,2333,183,10,11,1515,106,1,25,22,193,Manhattan,10075,3745.0,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,785000.0,3,3.5,2000.0,40.7250575,-73.7586039,16,0,6,2,258,22,0,0,1180,17,0,0,2,64,Queens,11005,2000.0,1–2 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,105.0,45.17588226889556
Townhouse for sale,4495000.0,6,7.5,3020.0,40.8096896,-73.9545352,26,0,65,3,936,222,5,3,1091,68,0,20,18,113,Manhattan,10027,1615.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,26.0,85.32013501928847
House for sale,788000.0,3,2.5,2000.0,40.5581078,-74.1670944,4,0,8,0,123,8,0,0,293,8,0,1,1,11,Staten Island,10312,2755.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,123.0,85.32013501928847
House for sale,699999.0,3,2,968.0,40.506257,-74.2438371,6,0,5,0,48,16,0,0,154,7,0,1,0,6,Staten Island,10307,5000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,829900.0,3,2,1200.0,40.6584792,-73.8516652,20,1,39,4,120,25,0,0,850,43,0,0,2,26,Queens,11414,4387.0,1–2 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Co-op for sale,550000.0,3,1.5,1300.0,40.7348199,-73.86684,13,2,35,8,901,46,1,0,1374,40,0,1,3,135,Queens,11373,1300.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,110.0,45.17588226889556
Co-op for sale,699000.0,Studio,1,500.0,40.7282326,-73.9953422,21,3,140,41,3206,185,14,21,1426,155,1,45,22,199,Manhattan,10012,13780.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
House for sale,469000.0,2,1,1365.0,40.5133745,-74.2428535,6,0,6,0,62,15,0,0,167,8,0,1,0,7,Staten Island,10307,3500.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
