Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
377 Rector Pl Unit 1AE,"New York, NY 10280","377 Rector Pl Unit 1AE New York, NY 10280 ",40.7099103,-74.0179295,17,0.1440729285350089,2,2.3209253841822246,98,0.2770972894251803,27,1.502897084606367,2301,0.0619880156212407,155,0.3149432522842501,9,0.3679588385243072,16,1.403117009000222,1100,0.0780711465273007,112,0.2770972894251803,1,2.936336013943057,39,0.2873428620922294,15,0.421329021805201,149,0.0925347490878762,Not Found
14627 Beech Ave Apt 4A,"Flushing, NY 11355","14627 Beech Ave Apt 4A Flushing, NY 11355 ",40.7582011,-73.8178509,13,0.7528033198050753,2,0.6075553281494764,10,0.6415235789253323,1,0.7615828261739296,457,0.2191662473407368,27,0.2226880026926648,1,3.0728964130629515,0,inf,1090,0.0841256917227852,17,0.3545042771988975,1,3.0868837540558167,1,1.5069222260476898,4,0.8849452854440499,76,0.2420497259824232,Not Found
41-40 Union St Unit 17R,"Flushing, NY 11355","41-40 Union St Unit 17R Flushing, NY 11355 ",40.7580229,-73.8258537,13,0.4417385864957331,2,0.191680163780425,14,0.2410159189604213,2,0.4108560922016736,529,0.1203003771322582,27,0.26705848740254,1,2.99243721907622,0,inf,1139,0.0674022965856815,21,0.2128494135050542,1,2.757673809379284,1,1.5660299165143947,4,0.7627969235086101,87,0.1217063678899796,Not Found
115-40 227 St,"Cambria Heights, NY 11414","115-40 227 St Cambria Heights, NY 11414 ",40.6973359,-73.7321663,16,0.8423730793954505,0,inf,1,2.910738400404704,5,1.5005550094400908,165,0.2972054359411706,28,0.7332392527609577,0,inf,0,inf,915,0.2972060216643897,12,1.1451456377212428,0,inf,0,inf,1,0.4294650992194468,39,0.3484546126106604,Not Found
144-18 Lakewood Ave,"Jamaica, NY 11435","144-18 Lakewood Ave Jamaica, NY 11435 ",40.6895576,-73.803319,15,0.5209001469230338,1,3.067950793598434,25,0.788437295948704,7,1.0451412285932742,335,0.3221990214621041,44,0.4678167721912061,1,2.279960306932065,0,inf,1361,0.0250690343021932,38,0.6979271368806587,0,inf,0,inf,2,0.7484413325228448,72,0.3029220535546603,Not Found
24 Fifth Ave Unit 706,"New York, NY 10011","24 Fifth Ave Unit 706 New York, NY 10011 ",40.7330596,-73.9959886,19,0.3360111093859321,3,0.7769114517138056,134,0.1675678404431544,40,0.3023610675895421,3158,0.0018029807694497,185,0.1421837483654812,15,0.0860546933362566,23,0.1338797749023175,1519,0.0173512548026748,150,0.1675678404431544,1,1.2204359540766432,45,0.3282736089151879,28,0.2921090640265997,197,0.1194615969613809,Not Found
159-19 82nd St,"Howard Beach, NY 11414","159-19 82nd St Howard Beach, NY 11414 ",40.6571314,-73.849763,17,1.2879579706919428,1,1.0498061617663677,35,1.0490997553985744,4,2.4912552561603145,116,0.5938455668869803,25,0.8197909598622671,0,inf,0,inf,821,0.4233579739843393,39,1.0490997553985744,0,inf,0,inf,2,1.914961192222476,27,0.6632062802908659,Not Found
121 W 19th St Ph F,"New York, NY 10011","121 W 19th St Ph F New York, NY 10011 ",40.7411971,-73.9961223,20,0.4111271562765757,3,0.464293104084953,132,0.0921179388965654,38,0.204442707866368,3216,0.0313591868546072,162,0.0406923489262066,14,0.235312595186575,23,0.3487024891398915,1609,0.085999000848162,147,0.0921179388965654,1,1.288170027675781,49,0.1138498950374794,28,0.1547126960537279,198,0.1289427551799058,Not Found
535 Park Ave Apt 4AB,"New York, NY 10065","535 Park Ave Apt 4AB New York, NY 10065 ",40.764256,-73.968418,15,0.9002887168288185,3,0.8084105720283493,115,0.1105816939186395,40,0.180407853169931,2984,0.0631880899400876,179,0.0612340478686753,12,0.302390820127953,21,0.7094115743686225,1593,0.0728576277700484,122,0.1105816939186395,1,2.0218887003321377,31,0.0776200448221097,23,0.1608454898290464,208,0.1919897018483382,Not Found
83-30 Vietor Ave Unit 223,"Elmhurst, NY 11373","83-30 Vietor Ave Unit 223 Elmhurst, NY 11373 ",40.743059,-73.880983,5,2.220785932833465,2,2.602576067921341,37,0.0703513819731751,16,0.5049669809003157,1061,0.0856589732881482,50,0.5237602771598355,0,inf,0,inf,1305,0.0988884764366502,41,0.0703513819731751,1,2.882695848630859,2,2.432897783168213,3,2.090194552125401,147,0.0929659926714504,Not Found
105 Bennett Ave Unit 54B,"New York, NY 10033","105 Bennett Ave Unit 54B New York, NY 10033 ",40.8536742,-73.9347275,41,0.9464033173558146,1,1.94984219060243,59,0.2147429197371796,3,0.8851886624515718,279,0.0779953947995726,165,0.1477050575163069,3,1.5251036864828067,1,2.6172344732826307,872,0.058539544681259,68,0.2147429197371796,0,inf,11,0.786296262173597,7,0.3449752163777514,65,0.045317742908831,Not Found
27 W 72nd St # 707,"New York, NY 10023","27 W 72nd St # 707 New York, NY 10023 ",40.7772662,-73.9773717,13,0.3567944878276097,3,0.675312610751544,99,0.1004838216841252,16,0.6561628086742358,2228,0.0453526464184499,185,0.2415389788647101,11,0.6957125204006499,14,0.3824365048879606,1438,0.0838886904932271,108,0.1004838216841252,1,2.915354439431197,29,0.1009270298315602,22,0.2462588693185504,175,0.0835923672608136,Not Found
11 Beach St Apt 5C,"New York, NY 10013","11 Beach St Apt 5C New York, NY 10013 ",40.7206121,-74.0061867,17,0.634048179682539,2,1.4809052885021723,124,0.097264258149614,35,0.5798619737947184,2889,0.0685914596091143,163,0.1893784187918443,11,0.2299649925577944,20,0.7689613604491838,1329,0.0641042302866552,140,0.097264258149614,1,2.014905832778563,43,0.1806907244608042,17,0.4997323007106826,176,0.2632164298584794,Not Found
30-45 Hobart St Unit 2BB,"Woodside, NY 11377","30-45 Hobart St Unit 2BB Woodside, NY 11377 ",40.7584341,-73.9062422,5,2.136411480750079,0,inf,46,0.3694936311397349,15,0.3312522252790746,1227,0.106676375289294,68,0.4134439034478151,2,2.517167472660021,1,2.590518308502512,1245,0.0782577012231744,49,0.3694936311397349,1,2.702462916219924,3,0.944841360007824,5,1.5875024459840623,153,0.1420345682234044,Not Found
