Property Link,Type of House,Property Value,bed,bath,"
bed",Area (Sqft),Address line 1,Address line 2,Full Address,PropertyLotSizeMetastyles__StyledPropertyLotSizeMeta-rui__sc-1cz4zco-0,lot size,appreciate/depreciate
https://www.realtor.com/realestateandhomes-detail/307-Lincoln-Rd_Brooklyn_NY_11225_M34979-26435?from=srp-list-card,Multi-family home for sale,"$1,750,000",4,3,,,307 Lincoln Rd,"Brooklyn, NY 11225",,sqft lot,"2,050",
https://www.realtor.com/realestateandhomes-detail/340-W-23rd-St_New-York_NY_10011_M97256-06148?from=srp-list-card,Townhouse for sale,"$19,995,000",6,6.5+,,"9,410",340 W 23rd St,"New York, NY 10011",,,,
https://www.realtor.com/realestateandhomes-detail/7616-Bay-Pkwy-2A_Brooklyn_NY_11214_M90730-46722?from=srp-list-card,Condo for sale,"$698,500",2,2,,839,7616 Bay Pkwy Unit 2A,"Brooklyn, NY 11214",,,,$16.5k
https://www.realtor.com/realestateandhomes-detail/1874-Pelham-Pkwy-S-Apt-5K_Bronx_NY_10461_M91804-61022?from=srp-list-card,Co-op for sale,"$225,000",1,1,,850,1874 Pelham Pkwy S Apt 5K,"Bronx, NY 10461",,,,
https://www.realtor.com/realestateandhomes-detail/339-Ocean-Pkwy_Brooklyn_NY_11218_M39715-46971?from=srp-list-card,Townhouse for sale,"$3,800,000",5,3,,"17,680",339 Ocean Pkwy,"Brooklyn, NY 11218",,,,
https://www.realtor.com/realestateandhomes-detail/894-New-Lots-Ave_Brooklyn_NY_11208_M40662-12463?from=srp-list-card,Multi-family home for sale,"$799,000",6,3.5,,"2,600",894 New Lots Ave,"Brooklyn, NY 11208",,sqft lot,"2,050",$35k
https://www.realtor.com/realestateandhomes-detail/2425-Haring-St-Apt-2F_Brooklyn_NY_11235_M35354-91726?from=srp-list-card,Co-op for sale,"$249,000",2,1,,"1,000",2425 Haring St Apt 2F,"Brooklyn, NY 11235",,sqft lot,"1,000",$10k
https://www.realtor.com/realestateandhomes-detail/4725-168th-St_Flushing_NY_11358_M49440-75753?from=srp-list-card,Multi-family home for sale,"$1,098,000",3,2,,,47-25 168th St,"Flushing, NY 11358",,sqft lot,"2,000",
https://www.realtor.com/realestateandhomes-detail/824-Barbey-St_Brooklyn_NY_11207_M46142-19519?from=srp-list-card,Multi-family home for sale,"$1,150,000",6,4,,,824 Barbey St,"Brooklyn, NY 11207",,sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/2128-W-8th-St_Brooklyn_NY_11223_M44973-88863?from=srp-list-card,Townhouse for sale,"$1,499,000",6,3,,"1,920",2128 W 8th St,"Brooklyn, NY 11223",,sqft lot,"2,000",
https://www.realtor.com/realestateandhomes-detail/285-Devoe-St_Brooklyn_NY_11211_M44661-17143?from=srp-list-card,Multi-family home for sale,"$2,200,000",12,9,,,285 Devoe St,"Brooklyn, NY 11211",,sqft lot,"2,500",
https://www.realtor.com/realestateandhomes-detail/741-E-42nd-St_Brooklyn_NY_11203_M37662-87934?from=srp-list-card,Multi-family home for sale,"$975,000",7,3,,,741 E 42nd St,"Brooklyn, NY 11203",,,,
https://www.realtor.com/realestateandhomes-detail/750-Riverside-Dr-Apt-4C_New-York_NY_10031_M39496-40496?from=srp-list-card,Condo for sale,"$525,000",1,1,,654,750 Riverside Dr Apt 4C,"New York, NY 10031",,,,
https://www.realtor.com/realestateandhomes-detail/80-Bay-Street-Lndg-Apt-4P_Staten-Island_NY_10301_M49776-66186?from=srp-list-card,Pending,"$425,000",2,2,,"1,432",80 Bay Street Lndg Apt 4P,"Staten Island, NY 10301",,sqft lot,"1,432",
https://www.realtor.com/realestateandhomes-detail/1200-5th-Ave-Apt-1E_New-York_NY_10029_M34365-04580?from=srp-list-card,Condo for sale,"$795,000",1,1,,667,1200 5th Ave Apt 1E,"Manhattan, NY 10029",,,,
